tiamat win, 80
die to alien mech, 30
Rob madame Tusk, 50
shoot self with plasma cannon, 60
damage self with rock, 10
get invigorated, 20
make kali angry, 20
quillin skip, 90
whip tiamat to death, 95
tidepool lava ankh skip, 50
clone yourself, 70
clone 4 hired help, 40
obtain golden monkey, 10
obtain eggplant, 20
spawn 4 ghosts, 30
get invited into tusks party, 20
ghost a vault, 20
knife the yeti king and queen, 20
kill an caveman with a crossbow, 10
obtain eggplant crown, 100
kill hundun, 100
telefrag quillback, 40
tiamat win with scepter, 100
get alien compass, 60
cook 4 turkeys with a single bomb, 30
curse yourself, 30
get true crown, 60
kill tiamat with the broken sword, 100
